,start_time,end_time,wav_file,emotion,val,act,dom
0,7.2455,11.64,Ses01F_impro04_F000,neu,3,3,3
1,11.7448,16.15,Ses01F_impro04_F001,neu,2.5,2.5,3
2,18.6,30.8976,Ses01F_impro04_F002,fru,2.5,3.5,3
3,35.009,37.8,Ses01F_impro04_F003,xxx,2.5,3,2.5
4,40.23,41.95,Ses01F_impro04_F004,xxx,2.5,2.5,2
5,43.35,45.7596,Ses01F_impro04_F005,neu,3,2,2.5
6,46.2735,49.83,Ses01F_impro04_F006,neu,3,3.5,3.5
7,50.11,54.31,Ses01F_impro04_F007,fru,3,3.5,4
8,54.37,55.67,Ses01F_impro04_F008,xxx,2,3.5,3.5
9,58.71,60.0937,Ses01F_impro04_F009,neu,2.5,2.5,2.5
10,60.6771,66.5275,Ses01F_impro04_F010,xxx,2,3.5,3
11,69.43,70.94,Ses01F_impro04_F011,xxx,2.5,3,3
12,72.13,74.73,Ses01F_impro04_F012,xxx,2.5,2.5,4
13,76.49,80.7269,Ses01F_impro04_F013,neu,3,3.5,3.5
14,85.49,86.98,Ses01F_impro04_F014,neu,2.5,3,2.5
15,87.2203,93.33,Ses01F_impro04_F015,xxx,2,4,3.5
16,97.41,101.0475,Ses01F_impro04_F016,fru,2,4,3.5
17,102.78,105.415,Ses01F_impro04_F017,fru,2,4.5,4
18,106.17,111.86,Ses01F_impro04_F018,fru,2,4.5,3.5
19,114.92,122.31,Ses01F_impro04_F019,fru,3,3.5,3
20,122.4,129.93,Ses01F_impro04_F020,xxx,2,3,3.5
21,133.74,137.44,Ses01F_impro04_F021,fru,2,2,3
22,138.13,139.89,Ses01F_impro04_F022,fru,2,2,2.5
23,148.55,152.85,Ses01F_impro04_F023,fru,2,2.5,3
24,153.18,155.2925,Ses01F_impro04_F024,fru,2.5,2.5,3.5
25,157.1625,159.7,Ses01F_impro04_F025,fru,2.5,2.5,3
26,161.0787,163.78,Ses01F_impro04_F026,fru,2.5,2,3.5
27,164.3925,167.565,Ses01F_impro04_F027,fru,2.5,2,3
28,170.83,172.84,Ses01F_impro04_F028,ang,2,3.5,3.5
29,175.27,178.43,Ses01F_impro04_F029,ang,1.5,4,4
30,180.3025,183.4875,Ses01F_impro04_F030,ang,1.5,3.5,4
31,184.47,188.87,Ses01F_impro04_F031,ang,1.5,3,3.5
32,189.12,192.02,Ses01F_impro04_F032,ang,2,3.5,3.5
33,193.5875,199.4325,Ses01F_impro04_F033,ang,1.5,3.5,4.5
34,2.7418,6.6575,Ses01F_impro04_M000,neu,3,2.5,2.5
35,10.46,12.13,Ses01F_impro04_M001,neu,3,2.5,2
36,15.64,18.9,Ses01F_impro04_M002,neu,3,2.5,3
37,26.91,28.71,Ses01F_impro04_M003,neu,3,2.5,2.5
38,30.88,35.5225,Ses01F_impro04_M004,neu,3,3,3
39,37.19,40.53,Ses01F_impro04_M005,neu,3,3,3
40,40.54,43.576,Ses01F_impro04_M006,neu,3,3.5,2.5
41,49.39,50.58,Ses01F_impro04_M007,neu,3.5,3,2.5
42,55.21,56.33,Ses01F_impro04_M008,neu,3,3,2.5
43,56.35,59.0245,Ses01F_impro04_M009,neu,3,3,3
44,59.8,61.55,Ses01F_impro04_M010,neu,3,2.5,2
45,65.97,69.77,Ses01F_impro04_M011,neu,3,3,2.5
46,70.38,72.7264,Ses01F_impro04_M012,neu,3,3,2.5
47,73.7473,77.15,Ses01F_impro04_M013,neu,3,2,3
48,80.1435,87.81,Ses01F_impro04_M014,neu,3.5,3.5,3.5
49,92.37,99.27,Ses01F_impro04_M015,neu,2.5,3.5,3
50,100.485,103.47,Ses01F_impro04_M016,neu,3,2.5,2.5
51,104.97,107.78,Ses01F_impro04_M017,neu,3,3.5,3
52,111.66,117.725,Ses01F_impro04_M018,neu,3,3.5,3
53,118.46,119.77,Ses01F_impro04_M019,neu,3,2.5,2.5
54,121.5,123.42,Ses01F_impro04_M020,neu,3,2.5,2.5
55,129.43,139.16,Ses01F_impro04_M021,neu,3.5,3.5,3
56,139.5219,141.8225,Ses01F_impro04_M022,neu,3,2.5,2.5
57,144.9125,149.51,Ses01F_impro04_M023,neu,2.5,2.5,2
58,151.84,154.03,Ses01F_impro04_M024,neu,3,2.5,3
59,154.6,157.8,Ses01F_impro04_M025,neu,3,3.5,3.5
